_id,title,accuracy,response_time,updatedAt
656960cf793453ba7eacc1a3,overall,72.33,547.55,2023-12-01T06:24:43.042Z
656960cf793453ba7eacc1a4,history,66,541.5,2023-12-01T06:28:17.430Z
656960cf793453ba7eacc1a5,social_science,79,577.81,2023-12-01T06:25:09.088Z
656960cf793453ba7eacc1a6,computer_security,67,514.1,2023-12-01T05:58:23.279Z
